"","ID","date","step","time","lon","lat","agesex","sex","age","m.state","m.year","sn","stepdir","st.pr","st.start","mig.init","mig.init.between"
"1","NS-2019-01",2019-11-08,264.43,2019-11-08 09:00:00,-63.3518982,45.2558479,"m_juv","m","juv","NS","2019","S","S","NS","NS",2019-11-08,2019-11-08
"2","NS-2019-02",2019-11-21,253.74,2019-11-21 15:00:00,-63.3548927,45.2839546,"f_juv","f","juv","NS","2019","S","S","NS","NS",2019-11-21,2019-11-21
"3","NS-2019-03",2019-10-19,238.03,2019-10-19 08:00:00,-63.3625488,45.2414589,"f_juv","f","juv","NS","2019","S","S","NS","NS",2019-10-19,2019-10-23
"4","NS-2019-04",2019-11-13,263.75,2019-11-13 15:00:00,-63.3675385,45.2332687,"f_juv","f","juv","NS","2019","S","S","NS","NS",2019-11-13,2019-11-13
"5","NS-2019-05",2019-10-23,454.22,2019-10-23 08:00:00,-63.3328018,45.2496758,"m_juv","m","juv","NS","2019","S","S","NS","NS",2019-10-23,2019-10-28
"6","NS-2019-06",2019-11-09,98.02,2019-11-09 15:00:00,-63.3202553,45.2327538,"f_juv","f","juv","NS","2019","S","S","NS","NS",2019-11-09,2019-11-10
"7","NY-2019-10",2019-11-07,325.6,2019-11-07 15:00:00,-75.6624527,43.7898102,"f_ad","f","ad","NY","2019","S","S","NY","NY",2019-11-07,2019-11-07
"8","NY-2019-11",2019-11-05,98.09,2019-11-05 15:00:00,-75.6636581,43.7894516,"f_juv","f","juv","NY","2019","S","S","NY","NY",2019-11-05,2019-11-05
"9","NY-2019-12",2019-11-07,631.11,2019-11-07 15:00:00,-75.6618652,43.7882767,"f_juv","f","juv","NY","2019","S","S","NY","NY",2019-11-07,2019-11-07
"10","NY-2019-13",2019-11-10,1116.98,2019-11-10 15:00:00,-77.3667679,42.6559372,"f_ad","f","ad","NY","2019","S","S","NY","NY",2019-11-10,2019-11-12
"11","NY-2019-14",2019-11-12,484.35,2019-11-12 09:00:00,-77.3676453,42.6497917,"m_juv","m","juv","NY","2019","S","S","NY","NY",2019-11-12,2019-11-12
"12","NY-2019-15",2019-11-04,1.8,2019-11-04 09:00:00,-77.3694305,42.6702461,"f_juv","f","juv","NY","2019","N","","NY","NY",2019-11-04,2019-11-04
"13","NY-2019-16",2019-11-11,462.66,2019-11-11 15:00:00,-79.0270081,43.2410736,"m_juv","m","juv","NY","2019","S","S","NY","NY",2019-11-11,2019-11-11
"14","NY-2019-19",2019-11-01,89.43,2019-11-01 14:00:00,-78.9290085,43.0311813,"f_juv","f","juv","NY","2019","S","S","NY","NY",2019-11-01,2019-11-01
"15","NY-2019-20",2019-11-07,273.45,2019-11-07 15:00:00,-76.7830124,42.5205383,"m_juv","m","juv","NY","2019","S","S","NY","NY",2019-11-07,2019-11-07
"16","NY-2019-21",2019-11-07,653.01,2019-11-07 15:00:00,-75.654335,43.7905273,"m_ad","m","ad","NY","2019","S","S","NY","NY",2019-11-07,2019-11-07
"17","NY-2019-22",2019-10-17,89.58,2019-10-17 08:00:00,-79.0370178,43.2157059,"m_ad","m","ad","NY","2019","S","S","NY","NY",2019-10-17,2019-10-17
"18","NY-2019-23",2019-10-30,243.34,2019-10-30 14:00:00,-78.3738022,43.0878334,"f_ad","f","ad","NY","2019","S","S","NY","NY",2019-10-30,2019-10-30
"19","NY-2019-25",2019-11-07,429.94,2019-11-07 15:00:00,-74.5504608,42.7885704,"m_ad","m","ad","NY","2019","S","S","NY","NY",2019-11-07,2019-11-07
"20","NY-2019-26",2019-11-07,151.28,2019-11-07 15:00:00,-78.983696,42.9896049,"f_ad","f","ad","NY","2019","S","S","NY","NY",2019-11-07,2019-11-07
"21","NY-2019-27",2019-11-01,271.83,2019-11-01 14:00:00,-74.4935074,42.7646065,"f_juv","f","juv","NY","2019","S","S","NY","NY",2019-11-01,2019-11-01
"22","NY-2019-28",2019-11-08,172.58,2019-11-08 09:00:00,-79.0390396,43.2135315,"f_ad","f","ad","NY","2019","S","S","NY","NY",2019-11-08,2019-11-09
"23","NY-2019-30",2019-11-07,869.52,2019-11-07 15:00:00,-75.7373276,43.7538948,"m_juv","m","juv","NY","2019","S","S","NY","NY",2019-11-07,2019-11-07
"24","NY-2019-31",2019-11-06,668.26,2019-11-06 09:00:00,-77.3585815,42.6468239,"f_ad","f","ad","NY","2019","S","S","NY","NY",2019-11-06,2019-11-07
"25","NY-2019-32",2019-10-26,52.51,2019-10-26 14:00:00,-79.0366592,43.2292976,"m_ad","m","ad","NY","2019","S","S","NY","NY",2019-10-26,2019-10-26
"26","NY-2019-35",2019-11-07,672.03,2019-11-07 15:00:00,-77.2235641,42.852417,"f_juv","f","juv","NY","2019","S","S","NY","NY",2019-11-07,2019-11-07
"27","NY-2019-36",2019-11-11,4.3,2019-11-11 15:00:00,-79.0411682,43.2145805,"f_ad","f","ad","NY","2019","S","","NY","NY",2019-11-11,2019-11-12
"28","ONT-2019-03",2019-10-15,110.5,2019-10-15 08:00:00,-80.3887482,48.5942154,"f_juv","f","juv","ONT","2019","S","S","ONT","ONT",2019-10-15,2019-10-15
"29","ONT-2019-04",2019-10-17,309.42,2019-10-17 14:00:00,-80.36586,48.5854607,"m_juv","m","juv","ONT","2019","S","S","ONT","ONT",2019-10-17,2019-10-18
"30","ONT-2019-05",2019-10-16,314.7,2019-10-16 14:00:00,-80.3772507,48.591629,"f_ad","f","ad","ONT","2019","S","S","ONT","ONT",2019-10-16,2019-10-16
"31","PA-2019-12",2019-11-02,528.68,2019-11-02 14:00:00,-80.5062027,41.9610748,"m_juv","m","juv","PA","2019","S","S","PA","PA",2019-11-02,2019-11-05
"32","PA-2019-13",2019-12-11,27.52,2019-12-11 15:00:00,-80.5001831,41.9623032,"m_juv","m","juv","PA","2019","S","S","PA","PA",2019-12-11,2019-12-11
"33","PA-2019-15",2019-10-25,14.43,2019-10-25 08:00:00,-76.1710968,41.98386,"f_ad","f","ad","PA","2019","S","S","PA","PA",2019-10-25,2019-10-25
"34","PA-2019-16",2019-11-08,606.9,2019-11-08 09:00:00,-76.234787,41.9674225,"f_ad","f","ad","PA","2019","S","S","PA","PA",2019-11-08,2019-11-08
"35","PA-2019-20",2019-11-12,840.27,2019-11-12 09:00:00,-76.224144,41.974617,"f_ad","f","ad","PA","2019","S","S","PA","PA",2019-11-12,2019-11-12
"36","QUE-2019-06",2019-10-19,402.38,2019-10-19 08:00:00,-71.0291061,48.3069839,"f_ad","f","ad","QUE","2019","S","S","QUE","QUE",2019-10-19,2019-10-19
"37","QUE-2019-07",2019-11-05,61.82,2019-11-05 15:00:00,-71.005249,48.3152771,"m_juv","m","juv","QUE","2019","S","S","QUE","QUE",2019-11-05,2019-11-05
"38","QUE-2019-08",2019-10-23,2.22,2019-10-23 08:00:00,-70.9403229,48.2943611,"m_juv","m","juv","QUE","2019","N","","QUE","QUE",2019-10-23,2019-10-24
"39","QUE-2019-09",2019-10-25,295.37,2019-10-25 08:00:00,-71.0402145,48.3080063,"m_juv","m","juv","QUE","2019","S","S","QUE","QUE",2019-10-25,2019-10-25
"40","QUE-2019-10",2019-10-26,387.23,2019-10-26 14:00:00,-71.0131073,48.3152008,"f_ad","f","ad","QUE","2019","S","S","QUE","QUE",2019-10-26,2019-10-26
"41","QUE-2019-11",2019-10-25,151.61,2019-10-25 08:00:00,-70.9981537,48.311821,"f_juv","f","juv","QUE","2019","S","S","QUE","QUE",2019-10-25,2019-10-25
"42","QUE-2019-12",2019-10-17,191.81,2019-10-17 08:00:00,-71.0218353,48.3133583,"f_ad","f","ad","QUE","2019","S","S","QUE","QUE",2019-10-17,2019-10-17
"43","QUE-2019-13",2019-10-13,3.08,2019-10-13 14:00:00,-78.8305283,48.8337784,"m_juv","m","juv","QUE","2019","S","","QUE","QUE",2019-10-13,2019-10-14
"44","QUE-2019-14",2019-10-16,435.12,2019-10-16 14:00:00,-78.8452225,48.83255,"m_juv","m","juv","QUE","2019","S","S","QUE","QUE",2019-10-16,2019-10-16
"45","QUE-2019-15",2019-10-31,221.02,2019-10-31 08:00:00,-78.8121948,48.8409996,"f_juv","f","juv","QUE","2019","S","S","QUE","QUE",2019-10-31,2019-10-31
"46","RI-2018-11",2019-11-12,37.66,2019-11-12 13:00:00,-71.6007004,41.4562683,"f_ad","f","ad","RI","2018","S","S","RI","RI",2019-11-12,2019-11-12
"47","RI-2019-16",2019-11-13,1166.19,2019-11-13 08:00:00,-71.5939941,41.4513779,"m_ad","m","ad","RI","2019","S","S","RI","RI",2019-11-13,2019-11-15
"48","RI-2019-17",2019-11-15,874.25,2019-11-15 12:00:00,-71.5946884,41.4526596,"m_ad","m","ad","RI","2019","S","S","RI","RI",2019-11-15,2019-11-16
"49","RI-2019-18",2019-11-27,23.44,2019-11-27 12:00:00,-71.586113,41.6839027,"m_ad","m","ad","RI","2019","S","S","RI","RI",2019-11-27,2019-12-05
"50","RI-2019-19",2019-11-27,428.67,2019-11-27 12:00:00,-71.6814728,41.44347,"m_ad","m","ad","RI","2019","S","S","RI","RI",2019-11-27,2019-11-29
"51","RI-2019-21",2019-12-01,186.89,2019-12-01 11:00:00,-71.6032104,41.4482803,"m_ad","m","ad","RI","2019","S","S","RI","RI",2019-12-01,2019-12-01
"52","RI-2019-23",2019-11-27,476.92,2019-11-27 12:00:00,-71.5952225,41.4516335,"m_ad","m","ad","RI","2019","S","S","RI","RI",2019-11-27,2019-11-28
"53","RI-2019-24",2019-11-15,831.13,2019-11-15 12:00:00,-71.7593765,41.6481934,"m_ad","m","ad","RI","2019","S","S","RI","RI",2019-11-15,2019-11-16
"54","RI-2019-25",2019-11-16,858.23,2019-11-16 09:00:00,-71.6681595,41.4459267,"f_ad","f","ad","RI","2019","S","S","RI","RI",2019-11-16,2019-11-16
"55","RI-2019-27",2019-11-16,461.56,2019-11-16 09:00:00,-71.6845474,41.4377861,"f_ad","f","ad","RI","2019","S","S","RI","RI",2019-11-16,2019-11-16
"56","RI-2019-28",2019-11-13,751.42,2019-11-13 08:00:00,-71.7333908,41.4598541,"m_ad","m","ad","RI","2019","S","S","RI","RI",2019-11-13,2019-11-15
"57","RI-2019-29",2019-12-02,29.92,2019-12-02 12:00:00,-71.5611801,41.6649361,"m_ad","m","ad","RI","2019","S","S","RI","RI",2019-12-02,2019-12-02
"58","VA-2019-10",2019-11-27,466.67,2019-11-27 08:00:00,-79.575798,38.1657219,"m_ad","m","ad","VA","2019","S","S","VA","VA",2019-11-27,2019-11-28
"59","VA-2019-21",2019-10-07,500.71,2019-10-07 21:00:00,-64.9331589,48.237606,"m_ad","m","ad","VA","2019","S","S","QUE","QUE",2019-10-07,2019-10-09
"60","VA-2019-22",2019-11-27,327.4,2019-11-27 09:00:00,-82.5856628,37.9048309,"f_ad","f","ad","VA","2019","S","S","KY","KY",2019-11-27,2019-11-28
"61","VA-2019-23",2019-11-05,172.43,2019-11-05 15:00:00,-72.424202,44.8633232,"f_ad","f","ad","VA","2019","S","S","VT","VT",2019-11-05,2019-11-06
"62","VA-2019-26",2019-11-08,739.61,2019-11-08 09:00:00,-79.5695724,38.1688957,"m_ad","m","ad","VA","2019","S","S","VA","VA",2019-11-08,2019-11-09
"63","VA-2019-27",2019-12-02,230.01,2019-12-02 09:00:00,-79.5738525,38.1902733,"m_ad","m","ad","VA","2019","S","S","VA","VA",2019-12-02,2019-12-03
"64","VA-2019-28",2019-12-02,412.41,2019-12-02 09:00:00,-79.5821915,38.164238,"m_juv","m","juv","VA","2019","S","S","VA","VA",2019-12-02,2019-12-03
"65","VA-2019-29",2019-11-28,630.34,2019-11-28 15:00:00,-79.5853195,38.1742973,"f_juv","f","juv","VA","2019","S","S","VA","VA",2019-11-28,2019-11-29
"66","VA-2019-30",2019-11-26,818.99,2019-11-26 15:00:00,-79.5822754,38.1641846,"m_juv","m","juv","VA","2019","S","S","VA","VA",2019-11-26,2019-11-28
"67","VA-2019-31",2019-11-26,196.1,2019-11-26 09:00:00,-79.5748749,38.1701508,"f_ad","f","ad","VA","2019","S","S","VA","VA",2019-11-26,2019-11-27
"68","VA-2019-32",2019-12-10,543.07,2019-12-10 15:00:00,-79.570755,38.1684875,"m_juv","m","juv","VA","2019","S","S","VA","VA",2019-12-10,2019-12-11
"69","VA-2019-33",2019-11-16,452.96,2019-11-16 15:00:00,-79.5619202,38.1799049,"f_ad","f","ad","VA","2019","S","S","VA","VA",2019-11-16,2019-11-17
"70","VA-2019-34",2019-12-04,381.38,2019-12-04 15:00:00,-79.562149,38.1815186,"f_juv","f","juv","VA","2019","S","S","VA","VA",2019-12-04,2019-12-05
"71","VA-2019-35",2019-12-02,31.26,2019-12-02 09:00:00,-79.5822754,38.1654396,"f_juv","f","juv","VA","2019","S","S","VA","VA",2019-12-02,2019-12-03
"72","VA-2019-36",2019-11-10,137.06,2019-11-10 15:00:00,-79.5744095,38.168232,"f_ad","f","ad","VA","2019","S","S","VA","VA",2019-11-10,2019-11-11
"73","VA-2019-39",2019-12-10,712.77,2019-12-10 15:00:00,-78.5800552,37.367054,"m_juv","m","juv","VA","2019","S","S","VA","VA",2019-12-10,2019-12-11
"74","WV-2019-01",2019-11-12,471.48,2019-11-12 09:00:00,-79.4337921,39.0641022,"f_juv","f","juv","WV","2019","S","S","WV","WV",2019-11-12,2019-11-12
"75","WV-2019-04",2019-11-19,5.02,2019-11-19 15:00:00,-79.4483871,39.0671997,"m_juv","m","juv","WV","2019","N","","WV","WV",2019-11-19,2019-11-19
