"","ID","date","step","time","lon","lat","agesex","sex","age","m.state","m.year","sn","stepdir","st.pr","st.start","mig.init","mig.init.between"
"1","AL-2020-01",2020-02-27,776.56,2020-02-27 09:00:00,-87.1755142,32.083416,"m_juv","m","juv","AL","2020","N","N","AL","AL",2020-02-27,2020-02-29
"2","AL-2020-06",2020-02-28,259.46,2020-02-28 15:00:00,-87.1523972,32.0777359,"f_ad","f","ad","AL","2020","N","N","AL","AL",2020-02-28,2020-02-29
"3","GA-2020-01",2020-02-12,139.28,2020-02-12 22:00:00,-83.7426834,33.4346352,"f_ad","f","ad","GA","2020","N","N","GA","GA",2020-02-12,2020-02-12
"4","GA-2020-03",2020-03-09,778.15,2020-03-09 08:00:00,-83.7468033,33.4339981,"f_ad","f","ad","GA","2020","N","N","GA","GA",2020-03-09,2020-03-10
"5","GA-2020-04",2020-03-01,414.4,2020-03-01 09:00:00,-83.7499771,33.4191246,"f_ad","f","ad","GA","2020","N","N","GA","GA",2020-03-01,2020-03-02
"6","GA-2020-05",2020-03-12,479.18,2020-03-12 14:00:00,-83.7445755,33.4349937,"f_juv","f","juv","GA","2020","N","N","GA","GA",2020-03-12,2020-03-12
"7","GA-2020-07",2020-02-21,280.93,2020-02-21 09:00:00,-83.6949921,33.479744,"m_ad","m","ad","GA","2020","N","N","GA","GA",2020-02-21,2020-02-22
"8","GA-2020-08",2020-03-02,280.84,2020-03-02 09:00:00,-83.7404556,33.4246788,"m_ad","m","ad","GA","2020","N","N","GA","GA",2020-03-02,2020-03-03
"9","GA-2020-09",2020-02-23,13.86,2020-02-23 09:00:00,-83.7439117,33.4350471,"m_juv","m","juv","GA","2020","N","N","GA","GA",2020-02-23,2020-02-24
"10","GA-2020-10",2020-02-05,395.25,2020-02-05 22:00:00,-83.7411194,33.4331017,"m_juv","m","juv","GA","2020","N","N","GA","GA",2020-02-05,2020-02-06
"11","GA-2020-11",2020-02-09,1.69,2020-02-09 09:00:00,-83.7498245,33.44841,"m_ad","m","ad","GA","2020","S","","GA","GA",2020-02-09,2020-02-10
"12","MD-2020-10",2020-03-13,2.98,2020-03-13 08:00:00,-75.8885269,38.4063873,"m_ad","m","ad","MD","2020","N","","MD","MD",2020-03-13,2020-03-13
"13","MD-2020-11",2020-03-08,528.07,2020-03-08 14:00:00,-75.9209595,38.4242554,"m_ad","m","ad","MD","2020","N","N","MD","MD",2020-03-08,2020-03-08
"14","MD-2020-12",2020-03-15,237.57,2020-03-15 08:00:00,-75.9290771,38.4224129,"m_ad","m","ad","MD","2020","N","N","MD","MD",2020-03-15,2020-03-16
"15","MD-2020-14",2020-03-07,0,2020-03-07 09:00:00,-75.9180145,38.4285583,"f_juv","f","juv","MD","2020","S","","MD","MD",2020-03-07,2020-03-07
"16","MD-2020-15",2020-03-10,0,2020-03-10 14:00:00,-75.924469,38.4251518,"f_ad","f","ad","MD","2020","S","","MD","MD",2020-03-10,2020-03-10
"17","MD-2020-16",2020-03-10,81.84,2020-03-10 14:00:00,-75.925827,38.4203377,"f_juv","f","juv","MD","2020","N","N","MD","MD",2020-03-10,2020-03-10
"18","MD-2020-17",2020-03-09,208.97,2020-03-09 08:00:00,-75.9257965,38.42062,"m_juv","m","juv","MD","2020","N","N","MD","MD",2020-03-09,2020-03-10
"19","NC-2020-06",2020-03-06,425.27,2020-03-06 09:00:00,-76.1726074,35.4137993,"m_juv","m","juv","NC","2020","N","N","NC","NC",2020-03-06,2020-03-07
"20","NC-2020-07",2020-03-08,367.42,2020-03-08 14:00:00,-76.168457,35.418766,"m_juv","m","juv","NC","2020","N","N","NC","NC",2020-03-08,2020-03-08
"21","NC-2020-08",2020-03-06,3.87,2020-03-06 15:00:00,-76.1634979,35.4363251,"f_ad","f","ad","NC","2020","S","","NC","NC",2020-03-06,2020-03-06
"22","NC-2020-09",2020-03-11,125.42,2020-03-11 08:00:00,-76.1401443,35.4359436,"f_juv","f","juv","NC","2020","N","N","NC","NC",2020-03-11,2020-03-11
"23","NC-2020-11",2020-03-15,0,2020-03-15 08:00:00,-78.8137894,36.1285515,"m_ad","m","ad","NC","2020","S","","NC","NC",2020-03-15,2020-03-15
"24","NC-2020-12",2020-03-04,285.25,2020-03-04 15:00:00,-78.8383636,36.1152382,"m_juv","m","juv","NC","2020","N","N","NC","NC",2020-03-04,2020-03-05
"25","NC-2020-13",2020-03-11,69.05,2020-03-11 08:00:00,-78.8188782,36.127758,"m_juv","m","juv","NC","2020","N","N","NC","NC",2020-03-11,2020-03-11
"26","NC-2020-14",2020-03-04,217.37,2020-03-04 09:00:00,-78.8174438,36.1291122,"m_juv","m","juv","NC","2020","N","N","NC","NC",2020-03-04,2020-03-04
"27","NC-2020-15",2020-03-09,448.23,2020-03-09 08:00:00,-78.8143768,36.1302147,"f_juv","f","juv","NC","2020","N","N","NC","NC",2020-03-09,2020-03-09
"28","NC-2020-16",2020-03-17,279.84,2020-03-17 08:00:00,-78.8351135,36.1213074,"f_ad","f","ad","NC","2020","N","N","NC","NC",2020-03-17,2020-03-17
"29","NC-2020-17",2020-03-14,157.62,2020-03-14 14:00:00,-78.8376465,36.1245842,"f_juv","f","juv","NC","2020","N","N","NC","NC",2020-03-14,2020-03-14
"30","NJ-2019-16",2020-02-01,361.01,2020-02-01 22:00:00,-80.2984543,32.6918793,"m_juv","m","juv","NJ","2019","N","N","SC","SC",2020-02-01,2020-02-06
"31","NJ-2019-18",2020-02-21,454.6,2020-02-21 09:00:00,-78.3595428,36.3269234,"m_juv","m","juv","NJ","2019","N","N","NC","NC",2020-02-21,2020-02-25
"32","NJ-2019-22",2020-02-07,26.08,2020-02-07 15:00:00,-78.7379303,34.4368515,"m_juv","m","juv","NJ","2019","N","N","NC","NC",2020-02-07,2020-02-09
"33","NJ-2019-23",2020-02-20,0,2020-02-20 09:00:00,-75.8687897,37.4241409,"f_juv","f","juv","NJ","2019","S","","VA","VA",2020-02-20,2020-02-20
