"","ID","date","time","lon","lat","agesex","sex","age","m.state","m.year","st.pr","st.start","lastloc","mig.term","mig.term.between"
"1","NS-2019-01",2019-11-21,2019-11-21 15:00:00,-76.8146286,35.3512573,"m_juv","m","juv","NS","2019","NC","NS","2020-01-14",2019-11-21,2019-11-21
"2","NS-2019-02",2019-12-19,2019-12-19 15:00:00,-74.8664169,39.0838127,"f_juv","f","juv","NS","2019","NJ","NS","2020-01-07",2019-12-19,2019-12-19
"3","NS-2019-04",2019-12-22,2019-12-22 09:00:00,-76.3827362,36.7265663,"f_juv","f","juv","NS","2019","VA","NS","2020-01-09",2019-12-22,2019-12-22
"4","NS-2019-06",2019-12-25,2019-12-25 15:00:00,-74.9928284,39.7528687,"f_juv","f","juv","NS","2019","NJ","NS","2020-01-13",2019-12-25,2019-12-26
"5","NY-2019-10",2019-11-14,2019-11-14 09:00:00,-84.8737411,33.9220352,"f_ad","f","ad","NY","2019","GA","NY","2020-01-14",2019-11-14,2019-11-14
"6","NY-2019-11",2019-11-13,2019-11-13 15:00:00,-81.6352158,32.5688972,"f_juv","f","juv","NY","2019","GA","NY","2019-12-31",2019-11-13,2019-11-13
"7","NY-2019-12",2019-12-03,2019-12-03 15:00:00,-89.6699753,30.769062,"f_juv","f","juv","NY","2019","MS","NY","2020-01-14",2019-12-03,2019-12-04
"8","NY-2019-13",2019-11-14,2019-11-14 15:00:00,-84.3282852,34.2039185,"f_ad","f","ad","NY","2019","GA","NY","2020-01-11",2019-11-14,2019-11-16
"9","NY-2019-14",2019-12-16,2019-12-16 09:00:00,-88.3188324,31.7587337,"m_juv","m","juv","NY","2019","AL","NY","2020-01-04",2019-12-16,2019-12-16
"10","NY-2019-15",2019-11-10,2019-11-10 09:00:00,-87.0664825,32.291214,"f_juv","f","juv","NY","2019","AL","NY","2020-01-14",2019-11-10,2019-11-10
"11","NY-2019-16",2019-12-29,2019-12-29 15:00:00,-86.6967163,32.5161095,"m_juv","m","juv","NY","2019","AL","NY","2020-01-14",2019-12-29,2019-12-29
"12","NY-2019-19",2019-12-09,2019-12-09 15:00:00,-80.464241,32.8751984,"f_juv","f","juv","NY","2019","SC","NY","2020-01-14",2019-12-09,2019-12-09
"13","NY-2019-20",2019-11-18,2019-11-18 09:00:00,-84.1638565,31.9647865,"m_juv","m","juv","NY","2019","GA","NY","2020-01-14",2019-11-18,2019-11-18
"14","NY-2019-21",2019-11-09,2019-11-09 15:00:00,-80.9991302,34.3004303,"m_ad","m","ad","NY","2019","SC","NY","2019-11-21",2019-11-09,2019-11-09
"15","NY-2019-23",2019-12-05,2019-12-05 15:00:00,-88.7154541,33.1566734,"f_ad","f","ad","NY","2019","MS","NY","2020-01-07",2019-12-05,2019-12-05
"16","NY-2019-25",2019-11-10,2019-11-10 09:00:00,-87.7590408,32.7786865,"m_ad","m","ad","NY","2019","AL","NY","2020-01-14",2019-11-10,2019-11-10
"17","NY-2019-26",2019-11-17,2019-11-17 15:00:00,-81.9392624,35.3332863,"f_ad","f","ad","NY","2019","NC","NY","2020-01-14",2019-11-17,2019-11-17
"18","NY-2019-27",2019-12-16,2019-12-16 09:00:00,-85.1945572,30.9002361,"f_juv","f","juv","NY","2019","FL","NY","2019-12-24",2019-12-16,2019-12-16
"19","NY-2019-28",2019-11-18,2019-11-18 15:00:00,-87.2302704,34.3712654,"f_ad","f","ad","NY","2019","AL","NY","2019-11-30",2019-11-18,2019-11-19
"20","NY-2019-30",2019-11-09,2019-11-09 15:00:00,-81.0286484,34.7685776,"m_juv","m","juv","NY","2019","SC","NY","2020-01-14",2019-11-09,2019-11-09
"21","NY-2019-31",2019-11-15,2019-11-15 15:00:00,-81.5414658,31.6214905,"f_ad","f","ad","NY","2019","GA","NY","2020-01-14",2019-11-15,2019-11-15
"22","NY-2019-32",2019-12-05,2019-12-05 15:00:00,-90.8055954,29.6041603,"m_ad","m","ad","NY","2019","LA","NY","2020-01-14",2019-12-05,2019-12-05
"23","NY-2019-35",2019-12-14,2019-12-14 09:00:00,-95.1693726,30.3670654,"f_juv","f","juv","NY","2019","TX","NY","2020-01-12",2019-12-14,2019-12-14
"24","NY-2019-36",2019-12-05,2019-12-05 15:00:00,-83.4937973,34.6036606,"f_ad","f","ad","NY","2019","GA","NY","2020-01-09",2019-12-05,2019-12-05
"25","ONT-2019-04",2019-11-12,2019-11-12 09:00:00,-78.3798141,35.3876114,"m_juv","m","juv","ONT","2019","NC","ONT","2019-12-08",2019-11-12,2019-11-13
"26","ONT-2019-05",2019-11-09,2019-11-09 15:00:00,-93.6386948,30.4642181,"f_ad","f","ad","ONT","2019","LA","ONT","2020-01-14",2019-11-09,2019-11-09
"27","PA-2019-13",2019-12-12,2019-12-12 09:00:00,-80.3151245,41.7567863,"m_juv","m","juv","PA","2019","PA","PA","2020-01-14",2019-12-12,2019-12-13
"28","PA-2019-15",2019-12-16,2019-12-16 09:00:00,-82.2935715,32.6110611,"f_ad","f","ad","PA","2019","GA","PA","2020-01-14",2019-12-16,2019-12-16
"29","PA-2019-16",2019-11-13,2019-11-13 15:00:00,-84.8967056,31.6272507,"f_ad","f","ad","PA","2019","GA","PA","2019-12-03",2019-11-13,2019-11-13
"30","PA-2019-20",2019-11-14,2019-11-14 09:00:00,-78.594162,34.5454712,"f_ad","f","ad","PA","2019","NC","PA","2020-01-07",2019-11-14,2019-11-14
"31","QUE-2019-06",2019-12-15,2019-12-15 15:00:00,-92.3808365,32.2421379,"f_ad","f","ad","QUE","2019","LA","QUE","2020-01-14",2019-12-15,2019-12-15
"32","QUE-2019-07",2019-12-09,2019-12-09 15:00:00,-76.4183197,35.8342018,"m_juv","m","juv","QUE","2019","NC","QUE","2020-01-14",2019-12-09,2019-12-09
"33","QUE-2019-08",2019-11-12,2019-11-12 09:00:00,-79.7927017,33.5952263,"m_juv","m","juv","QUE","2019","SC","QUE","2020-01-11",2019-11-12,2019-11-13
"34","QUE-2019-09",2019-11-14,2019-11-14 09:00:00,-84.9748611,33.6134529,"m_juv","m","juv","QUE","2019","GA","QUE","2020-01-14",2019-11-14,2019-11-14
"35","QUE-2019-11",2019-11-14,2019-11-14 09:00:00,-76.9421921,38.358593,"f_juv","f","juv","QUE","2019","MD","QUE","2020-01-14",2019-11-14,2019-11-14
"36","QUE-2019-12",2019-11-29,2019-11-29 15:00:00,-84.1499023,32.7135353,"f_ad","f","ad","QUE","2019","GA","QUE","2020-01-07",2019-11-29,2019-11-29
"37","QUE-2019-13",2019-12-06,2019-12-06 09:00:00,-93.6953201,32.9734802,"m_juv","m","juv","QUE","2019","LA","QUE","2020-01-11",2019-12-06,2019-12-07
"38","QUE-2019-14",2019-11-11,2019-11-11 15:00:00,-90.1101685,34.1544304,"m_juv","m","juv","QUE","2019","MS","QUE","2020-01-14",2019-11-11,2019-11-11
"39","QUE-2019-15",2019-12-16,2019-12-16 09:00:00,-89.6767349,31.4656639,"f_juv","f","juv","QUE","2019","MS","QUE","2020-01-14",2019-12-16,2019-12-16
"40","RI-2018-11",2019-12-10,2019-12-10 13:00:00,-83.367157,32.126606,"f_ad","f","ad","RI","2018","GA","RI","2020-01-13",2019-12-10,2019-12-10
"41","RI-2019-16",2019-11-19,2019-11-19 08:00:00,-81.371994,34.2863731,"m_ad","m","ad","RI","2019","SC","RI","2019-12-09",2019-11-19,2019-11-20
"42","RI-2019-17",2019-11-17,2019-11-17 16:00:00,-78.9339294,36.0595856,"m_ad","m","ad","RI","2019","NC","RI","2019-12-09",2019-11-17,2019-11-18
"43","RI-2019-18",2019-12-13,2019-12-13 08:00:00,-71.5050888,41.4818192,"m_ad","m","ad","RI","2019","RI","RI","2020-01-14",2019-12-13,2019-12-14
"44","RI-2019-19",2019-12-11,2019-12-11 16:00:00,-86.1938782,34.3962479,"m_ad","m","ad","RI","2019","AL","RI","2020-01-14",2019-12-11,2019-12-12
"45","RI-2019-25",2019-12-02,2019-12-02 12:00:00,-84.9962616,32.0759697,"f_ad","f","ad","RI","2019","GA","RI","2020-01-13",2019-12-02,2019-12-02
"46","RI-2019-27",2019-12-01,2019-12-01 11:00:00,-77.5933838,34.5443954,"f_ad","f","ad","RI","2019","NC","RI","2019-12-24",2019-12-01,2019-12-01
"47","RI-2019-29",2019-12-04,2019-12-04 15:00:00,-71.5131302,41.454834,"m_ad","m","ad","RI","2019","RI","RI","2020-01-14",2019-12-04,2019-12-04
"48","VA-2019-21",2020-01-02,2020-01-02 08:00:00,-81.6474762,33.8911629,"m_ad","m","ad","VA","2019","SC","QUE","2020-01-14",2020-01-02,2020-01-03
"49","VA-2019-22",2019-12-11,2019-12-11 15:00:00,-87.0168457,34.2821503,"f_ad","f","ad","VA","2019","AL","KY","2020-01-14",2019-12-11,2019-12-12
"50","VA-2019-23",2019-11-11,2019-11-11 15:00:00,-81.8982239,35.1757431,"f_ad","f","ad","VA","2019","SC","VT","2019-11-19",2019-11-11,2019-11-12
"51","VA-2019-26",2019-11-12,2019-11-12 22:00:00,-82.5195618,31.8807678,"m_ad","m","ad","VA","2019","GA","VA","2020-01-12",2019-11-12,2019-11-13
"52","VA-2019-27",2019-12-24,2019-12-24 22:00:00,-87.1846542,31.8269825,"m_ad","m","ad","VA","2019","AL","VA","2020-01-12",2019-12-24,2019-12-27
"53","VA-2019-28",2019-12-14,2019-12-14 09:00:00,-77.5965576,36.6022797,"m_juv","m","juv","VA","2019","VA","VA","2020-01-12",2019-12-14,2019-12-15
"54","VA-2019-32",2019-12-12,2019-12-12 22:00:00,-82.5625992,33.919117,"m_juv","m","juv","VA","2019","GA","VA","2020-01-12",2019-12-12,2019-12-13
"55","VA-2019-33",2019-11-18,2019-11-18 22:00:00,-81.882431,34.5545349,"f_ad","f","ad","VA","2019","SC","VA","2020-01-14",2019-11-18,2019-11-19
"56","VA-2019-34",2019-12-08,2019-12-08 09:00:00,-78.1697922,34.8926849,"f_juv","f","juv","VA","2019","NC","VA","2020-01-14",2019-12-08,2019-12-09
"57","VA-2019-35",2019-12-20,2019-12-20 09:00:00,-87.0620041,31.4332027,"f_juv","f","juv","VA","2019","AL","VA","2020-01-14",2019-12-20,2019-12-22
"58","VA-2019-36",2019-12-08,2019-12-08 09:00:00,-82.1731949,30.6723976,"f_ad","f","ad","VA","2019","GA","VA","2020-01-14",2019-12-08,2019-12-09
"59","VA-2019-39",2019-12-14,2019-12-14 09:00:00,-83.2486496,32.188736,"m_juv","m","juv","VA","2019","GA","VA","2020-01-12",2019-12-14,2019-12-15
"60","WV-2019-01",2019-12-01,2019-12-01 15:00:00,-92.4705887,32.4066162,"f_juv","f","juv","WV","2019","LA","WV","2020-01-14",2019-12-01,2019-12-01
"61","WV-2019-04",2019-11-21,2019-11-21 15:00:00,-81.5918427,34.9739647,"m_juv","m","juv","WV","2019","SC","WV","2019-12-22",2019-11-21,2019-11-21
